RunId,iteration,Step,estrategia,avances,rescatistas,rng,Rescatados,Perdidas,Danio,Fuegos,Paredes,Puertas,Rescatando,Pasos,Avances,Estado,gano,motivo
538,179,4.0,mejorada,1,3,6904690273224461891,2,4,9,11,6,5,3,4,1,perdido,0,victimas
28,9,4.0,mejorada,1,3,4154077065378586294,1,4,8,14,7,6,1,4,1,perdido,0,victimas
8,2,5.0,mejorada,1,4,7919168045412322065,1,0,24,12,16,6,2,5,1,perdido,0,colapso
479,159,5.0,mejorada,1,4,7089521783151875089,0,4,7,7,6,6,0,5,1,perdido,0,victimas
470,156,5.0,mejorada,1,4,2593923817679570304,1,4,7,10,5,6,3,5,1,perdido,0,victimas
573,191,5.0,mejorada,1,2,2222561263212250043,0,4,6,13,4,7,1,5,1,perdido,0,victimas
281,93,5.0,mejorada,1,4,3514300522226417888,0,1,24,17,16,6,0,5,1,perdido,0,colapso
181,60,5.0,mejorada,1,3,6164929187129147890,0,5,7,6,5,6,3,5,1,perdido,0,victimas
641,213,5.0,mejorada,1,4,7416739668938578572,3,4,11,15,8,7,2,5,1,perdido,0,victimas
257,85,5.0,mejorada,1,4,830544921056646276,1,4,18,17,13,6,0,5,1,perdido,0,victimas
667,222,5.0,mejorada,1,3,6113843244235381328,0,4,11,9,9,6,1,5,1,perdido,0,victimas
668,222,5.0,mejorada,1,4,6113843244235381328,0,4,14,16,11,6,1,5,1,perdido,0,victimas
418,139,5.0,mejorada,1,3,763049567893618475,1,4,13,9,10,6,3,5,1,perdido,0,victimas
521,173,5.0,mejorada,1,4,8633478089267323312,0,4,11,20,7,6,0,5,1,perdido,0,victimas
767,255,5.0,mejorada,1,4,6880767251491745953,0,4,8,13,5,8,2,5,1,perdido,0,victimas
653,217,5.0,mejorada,1,4,1141427372043005697,0,5,4,13,4,7,3,5,1,perdido,0,victimas
335,111,5.0,mejorada,1,4,1866472600136169721,0,4,10,18,8,7,1,5,1,perdido,0,victimas
659,219,6.0,mejorada,1,4,3667011595388186359,1,3,24,23,17,6,0,6,1,perdido,0,colapso
664,221,6.0,mejorada,1,3,4506392421548718624,1,0,24,9,17,7,3,6,1,perdido,0,colapso
764,254,6.0,mejorada,1,4,2182825021047865272,2,4,14,21,13,7,1,6,1,perdido,0,victimas
862,287,6.0,mejorada,1,3,3445982197241601284,0,0,25,7,17,8,3,6,1,perdido,0,colapso
236,78,6.0,mejorada,1,4,5137714777533577109,0,4,6,14,4,7,3,6,1,perdido,0,victimas
423,141,6.0,mejorada,1,2,4525973170018542717,0,4,16,16,12,7,1,6,1,perdido,0,victimas
191,63,6.0,mejorada,1,4,7055869069716825080,3,4,9,10,7,5,3,6,1,perdido,0,victimas
182,60,6.0,mejorada,1,4,6164929187129147890,1,4,14,8,12,7,3,6,1,perdido,0,victimas
256,85,6.0,mejorada,1,3,830544921056646276,1,2,24,19,15,7,0,6,1,perdido,0,colapso
41,13,6.0,mejorada,1,4,7588636456839696474,2,4,13,13,13,7,3,6,1,perdido,0,victimas
37,12,6.0,mejorada,1,3,5938607544058144514,0,4,14,9,9,7,2,6,1,perdido,0,victimas
167,55,6.0,mejorada,1,4,7200954313088743597,0,2,24,20,18,8,1,6,1,perdido,0,colapso
637,212,6.0,mejorada,1,3,1842605159165816250,2,2,25,15,17,6,0,6,1,perdido,0,colapso
165,55,6.0,mejorada,1,2,7200954313088743597,2,4,15,12,12,8,2,6,1,perdido,0,victimas
166,55,6.0,mejorada,1,3,7200954313088743597,0,1,24,14,20,8,1,6,1,perdido,0,colapso
506,168,6.0,mejorada,1,4,2925089995860117194,1,4,23,10,16,5,3,6,1,perdido,0,victimas
452,150,6.0,mejorada,1,4,7621197827893166670,0,0,24,13,16,6,0,6,1,perdido,0,colapso
152,50,6.0,mejorada,1,4,1843827724646817314,3,4,10,15,8,5,2,6,1,perdido,0,victimas
