estrategia,avances,rescatistas,rescatados,perdidas,danio,rondas,ganadas,corridas,porcentaje
aleatoria,2,2,0.2,0.7666666666666667,24.9,10.533333333333333,0,30,0.0
aleatoria,2,3,0.06666666666666667,0.6666666666666666,25.466666666666665,11.1,0,30,0.0
aleatoria,2,4,0.16666666666666666,0.7333333333333333,24.766666666666666,10.933333333333334,0,30,0.0
aleatoria,4,2,0.06666666666666667,1.5333333333333334,26.6,7.866666666666666,0,30,0.0
aleatoria,4,3,0.16666666666666666,1.4,25.466666666666665,6.966666666666667,0,30,0.0
aleatoria,4,4,0.0,0.9,26.4,6.3,0,30,0.0
aleatoria,6,2,0.06666666666666667,1.4333333333333333,28.266666666666666,5.033333333333333,0,30,0.0
aleatoria,6,3,0.03333333333333333,1.8666666666666667,28.9,5.033333333333333,0,30,0.0
aleatoria,6,4,0.1,1.3666666666666667,27.7,5.166666666666667,0,30,0.0
mejorada,2,2,5.7,2.8,11.6,36.03333333333333,14,30,46.666666666666664
mejorada,2,3,5.433333333333334,2.533333333333333,13.7,36.0,16,30,53.333333333333336
mejorada,2,4,5.5,2.4,17.766666666666666,24.933333333333334,13,30,43.333333333333336
mejorada,4,2,4.966666666666667,2.9,16.933333333333334,19.533333333333335,12,30,40.0
mejorada,4,3,5.166666666666667,2.7,19.433333333333334,15.8,9,30,30.0
mejorada,4,4,2.1666666666666665,2.5,24.366666666666667,9.8,0,30,0.0
mejorada,6,2,2.7333333333333334,3.2333333333333334,21.6,11.0,2,30,6.666666666666667
mejorada,6,3,2.033333333333333,2.9,23.333333333333332,8.6,1,30,3.3333333333333335
mejorada,6,4,0.8666666666666667,2.466666666666667,25.966666666666665,5.866666666666666,0,30,0.0
